"Rank","Name","Country","Score","Tens","Xs"
"1","Korea","KOR","2089","147","70"
"2","USA","USA","2053","124","49"
"3","Chinese Taipei","TPE","2052","123","44"
"4","Great Britain","GBR","2046","122","43"
"5","Turkey","TUR","2043","115","38"
"6","India","IND","2037","118","49"
"7","PR China","CHN","2028","113","45"
"8","Malaysia","MAS","2022","102","36"
"9","New Zealand","NZL","2006","98","44"
"10","Thailand","THA","2003","93","34"
"11","Singapore","SIN","1985","85","32"
"12","Hong Kong, China","HKG","1966","79","22"
