"Rank","Name","Country"
"1","AN San","KOR"
"2","JEON Ina","KOR"
"3","TAN Ya-Ting","TPE"
"4","AN Qixuan","CHN"
"5","GALISTEO Monica","ESP"
"6","SUGIBAYASHI Rina","JPN"
"7","UNRUH Lisa","GER"
"8","LEI Chien-Ying","TPE"
"9","BAYARDO Gabriela","NED"
"9","ERDYNIEVA Natalia","RUS"
"9","JUNG Dasomi","KOR"
"9","KUMARI Deepika","IND"
"9","MENG Fanxu","CHN"
"9","PARNAT Reena","EST"
"9","RICHTER Elena","GER"
"9","TARTLER Elisa","GER"
"17","CANALES Elia","ESP"
"17","DERIN Sevcan","TUR"
"17","GAUBIL Melanie","FRA"
"17","GIACCHERI Tanya","ITA"
"17","JO Areum","KOR"
"17","JUNG Amy","USA"
"17","KACZMARECK Elodie","FRA"
"17","KOVACIC Tihana","CRO"
"17","KROPPEN Michelle","GER"
"17","LAISHRAM Bombayla Devi","IND"
"17","LIN Chia-En","TPE"
"17","MIRCA Alexandra","MDA"
"17","NAKAMURA Miki","JPN"
"17","TONETTA Elena","ITA"
"17","TSYREMPILOVA Sayana","RUS"
"17","VEDWAN Madhu","IND"
"33","ANAGOZ Yasemin","TUR"
"33","BARBELIN Lisa","FRA"
"33","BARI Komalika","IND"
"33","BASARAN Ezgi","TUR"
"33","COSKUN Gulnaz","TUR"
"33","DUNNE Ciara","IRL"
"33","DUNNIGHAN Kate","GBR"
"33","GAUVIN Crystal","USA"
"33","GNORIEGA Catalina","USA"
"33","HNYP Solomiya","UKR"
"33","HORACKOVA Marie","CZE"
"33","IRIE Yu","JPN"
"33","LONG Xiaoqing","CHN"
"33","MARIN Alicia","ESP"
"33","NARIMANIDZE Khatuna","GEO"
"33","PEROVA Ksenia","RUS"
"33","PINTO Mariessa","CAN"
"33","PIPER Eleanor","GBR"
"33","RAY Beauty","BAN"
"33","SENYUK Olga","UKR"
"33","TOGASHI Fumina","JPN"
"33","TRAPEZNIKOVA Solomiya","UKR"
"33","USTINOVA Kristina","RUS"
"33","ZHENG Yichai","CHN"
"57","BARRETT Stephanie","CAN"
"57","BOTTINELLI Gajane","FIN"
"57","FULLER Sarah","NZL"
"57","GASIMOVA Ozay","AZE"
"57","HODGSON Olivia","NZL"
"57","KENDAL-BROWN Amanda Jessica","TTO"
"57","MOLONEY Sarah","IRL"
"57","PIPER Louisa","GBR"
"57","RAMAZANOVA Yaylagul","AZE"
"57","REBAGLIATI Chiara","ITA"
"57","SANGANI Mehak","SRI"
"57","SIMONOVA Svetlana","AZE"
"57","SOKOLENKO Kateryna","UKR"
"57","STROUD Branduin","USA"
"57","UMER Ana","SLO"
"57","VAN DER WINKEL Laura","NED"
"57","WARNER Elizabeth","GBR"
"57","WATSON Katherine","NZL"
